id_unidade,cod_equipamento,nome_unidade,num_unidade,data_entrada_teste,data_entrada_operacao,data_desativacao,potencia_efetiva,combustivel,id_usina
4801,MGBS010R02,UG 12P6 MW BST1_UFV BS01           R02 MG,,2024-01-11,2024-03-07,,12.6,FOTOVOLTAICA,1712
4802,MGBS010R03,UG 18P9 MW BST1_UFV BS01           R03 MG,,2024-01-11,2024-03-07,,18.9,FOTOVOLTAICA,1712
4803,MGBS010R01,UG 12P6 MW BST1_UFV BS01           R01 MG,,2024-01-11,2024-03-07,,12.6,FOTOVOLTAICA,1712
4804,MGBS020R01,UG 12P6 MW BST1_UFV BS02           R04 MG,,2024-01-11,2024-02-27,,12.6,FOTOVOLTAICA,1713
4805,MGBS020R05,UG 12P6 MW BST1_UFV BS02           R05 MG,,2024-01-11,2024-02-27,,12.6,FOTOVOLTAICA,1713
4806,MGBS020R06,UG 18P9 MW BST1_UFV BS02           R06 MG,,2024-01-11,2024-02-27,,18.9,FOTOVOLTAICA,1713
4807,MGBS030R01,UG 12P6 MW BST1_UFV BS03           R07 MG,,2024-01-11,2024-03-07,,12.6,FOTOVOLTAICA,1714
4808,MGBS030R08,UG 12P6 MW BST1_UFV BS03           R08 MG,,2024-01-11,2024-03-07,,12.6,FOTOVOLTAICA,1714
4809,MGBS030R09,UG 18P9 MW BST1_UFV BS03           R09 MG,,2024-01-11,2024-03-07,,18.9,FOTOVOLTAICA,1714
4810,MGBS040R07,UG 12P6 MW BST1_UFV BS04           R10 MG,,2024-02-09,2024-03-23,,12.6,FOTOVOLTAICA,1715
4811,MGBS040R08,UG 12P6 MW BST1_UFV BS04           R11 MG,,2024-02-09,2024-03-23,,12.6,FOTOVOLTAICA,1715
4812,MGBS040R09,UG 18P9 MW BST1_UFV BS04           R12 MG,,2024-02-09,2024-03-23,,18.9,FOTOVOLTAICA,1715
4813,MGBS050R01,UG 12P6 MW BST1_UFV BS05           R13 MG,,2024-01-11,2024-03-01,,12.6,FOTOVOLTAICA,1716
4814,MGBS050R14,UG 12P6 MW BST1_UFV BS05           R14 MG,,2024-01-11,2024-03-01,,12.6,FOTOVOLTAICA,1716
4815,MGBS050R15,UG 18P9 MW BST1_UFV BS05           R15 MG,,2024-01-11,2024-03-01,,18.9,FOTOVOLTAICA,1716
4816,MGBS060R01,UG 18P9 MW BST1_UFV BS06           R16 MG,,2024-02-02,2024-03-07,,18.9,FOTOVOLTAICA,1717
4817,MGBS060R17,UG 12P6 MW BST1_UFV BS06           R17 MG,,2024-02-02,2024-03-07,,12.6,FOTOVOLTAICA,1717
4818,MGBS060R18,UG 12P6 MW BST1_UFV BS06           R18 MG,,2024-02-02,2024-03-07,,12.6,FOTOVOLTAICA,1717
4819,MGBS070R01,UG 15P7 MW BST1_UFV BS07           R19 MG,,2024-02-09,2024-03-13,,15.75,FOTOVOLTAICA,1718
4820,MGBS070R02,UG 12P6 MW BST1_UFV BS07           R20 MG,,2024-02-09,2024-03-13,,12.6,FOTOVOLTAICA,1718
4821,MGBS070R03,UG 15P7 MW BST1_UFV BS07           R21 MG,,2024-02-09,2024-03-13,,15.75,FOTOVOLTAICA,1718
4822,MGBS080R01,UG 18P9 MW BST1_UFV BS08           R22 MG,,2024-02-09,2024-03-16,,18.9,FOTOVOLTAICA,1719
4823,MGBS080R02,UG 12P6 MW BST1_UFV BS08           R23 MG,,2024-02-09,2024-03-16,,12.6,FOTOVOLTAICA,1719
4824,MGBS080R03,UG 12P6 MW BST1_UFV BS08           R24 MG,,2024-02-09,2024-03-16,,12.6,FOTOVOLTAICA,1719
4825,MGUFV10UG1,UG   27 MW UFV VAZANTE 1             1 MG,1.0,2017-11-09,2017-12-16,,27.0,FOTOVOLTAICA,1720
4826,MGUFV20UG1,UG   27 MW UFV VAZANTE 2             1 MG,1.0,2017-11-09,2017-12-07,,27.0,FOTOVOLTAICA,1721
4827,MGUFV30UG1,UG   27 MW UFV VAZANTE 3             1 MG,1.0,2017-11-09,2017-12-07,,27.0,FOTOVOLTAICA,1722
4828,MGVA010UG16,UG 23P8 MW VST1_V ALEGRE01         R16 MG,,2024-08-31,2024-11-08,,23.837,FOTOVOLTAICA,1723
4829,MGVA010UG17,UG 17P3 MW VST1_V ALEGRE01         R17 MG,,2024-08-31,2024-11-08,,17.336,FOTOVOLTAICA,1723
4830,MGVA020UG11,UG 23P8 MW VST1_V ALEGRE02         R11 MG,,2024-08-31,2024-11-15,,23.837,FOTOVOLTAICA,1724
4831,MGVA020UG12,UG 17P3 MW VST1_V ALEGRE02         R12 MG,,2024-08-31,2024-11-15,,17.336,FOTOVOLTAICA,1724
4832,MGVA030UG18,UG 23P8 MW VST1_V ALEGRE03         R18 MG,,2024-08-31,2024-11-08,,23.837,FOTOVOLTAICA,1725
4833,MGVA030UG19,UG 17P3 MW VST1_V ALEGRE03         R19 MG,,2024-08-31,2024-11-08,,17.336,FOTOVOLTAICA,1725
4834,MGVA040UG24,UG 17P3 MW VST1_V ALEGRE04         R24 MG,,2024-08-31,2024-11-22,,17.336,FOTOVOLTAICA,1726
4835,MGVA040UG25,UG 23P8 MW VST1_V ALEGRE04         R25 MG,,2024-08-31,2024-11-22,,23.837,FOTOVOLTAICA,1726
4836,MGVA090UG39,UG 17P3 MW VST1_V ALEGRE09         R39 MG,,2024-09-19,2024-11-09,,17.336,FOTOVOLTAICA,1727
4837,MGVA090UG40,UG 23P8 MW VST1_V ALEGRE09         R40 MG,,2024-09-19,2024-11-09,,23.837,FOTOVOLTAICA,1727
4838,MGVA050UG23,UG 23P8 MW VST1_V ALEGRE05         R23 MG,,2024-08-31,2024-11-08,,23.837,FOTOVOLTAICA,1728
4839,MGVA050UG22,UG 17P3 MW VST1_V ALEGRE05         R22 MG,,2024-08-31,2024-11-08,,17.336,FOTOVOLTAICA,1728
4840,MGVA060UG26,UG 23P8 MW VST1_V ALEGRE06         R26 MG,,2024-08-31,2024-11-22,,23.837,FOTOVOLTAICA,1729
4841,MGVA060UG27,UG 17P3 MW VST1_V ALEGRE06         R27 MG,,2024-08-31,2024-11-22,,17.336,FOTOVOLTAICA,1729
4842,MGVA070UG35,UG 23P8 MW VST1_V ALEGRE07         R35 MG,,2024-09-17,2024-11-09,,23.837,FOTOVOLTAICA,1730
